,2020,2021,2022,2023
PGHH.NS,4330800000.0,6517900000.0,5757500000.0,7344200000.0
TATACONSUM.NS,4597600000.0,8566900000.0,9357800000.0,12037700000.0
ITC.NS,153062300000.0,131611900000.0,152426600000.0,201851300000.0
VBL.NS,3289950000.0,6940520000.0,14974330000.0,19987010000.0
BRITANNIA.NS,14026300000.0,18639000000.0,15248200000.0,25361900000.0
RADICO.NS,2291399000.0,2771579000.0,2632275000.0,2266296000.0
HINDUNILVR.NS,67560000000.0,79960000000.0,88740000000.0,101210000000.0
DABUR.NS,14449600000.0,16933000000.0,17392200000.0,17071500000.0
MARICO.NS,10210000000.0,11720000000.0,12250000000.0,14100000000.0
GODREJCP.NS,14965800000.0,17208200000.0,17833900000.0,17500700000.0
NESTLEIND.NS,20824300000.0,21448600000.0,23905200000.0,29711100000.0
UBL.NS,4277300000.0,1132200000.0,3654600000.0,2513300000.0
COLPAL.NS,8164660000.0,10353854000.0,10783187000.0,11731865000.0
EMAMILTD.NS,3029142000.0,4546991000.0,8389850000.0,7034620000.0
MCDOWELL-N.NS,6589000000.0,3836000000.0,8286000000.0,11330000000.0
